,bgm,genre
11,DD打D哒 - 哈尼宝贝（纯净版Remix_DD打D哒 Remix）,
22,i黄小依 - Shy,
25,KT、Chiu Chiu - 7538 (Me U-Remix),
32,Samuel - What Do You Mean#,
33,Taylor Swift - Lover (Live From Paris),
39,一口甜、二辰 - 靠近,
42,丫蛋蛋(马启涵)、沈虫虫 - 2018好嗨呦 (Live),
44,伍佰 & China Blue - Last Dance,
47,冯提莫 - 小永远,
48,冼宇超、柒朵墨 - 薄荷色夏天,
58,半吨兄弟 - 我这一生,
64,名决 - 时间的过客 (抖音烟嗓版),
80,大能人 - 想要问问你敢不敢ReMix,
89,宋孟君、威仔 - 9277 (原版),
91,封茗囧菌 - 爱的魔法,
94,小潘潘（潘柚彤） _ 李俊佑 - 宠坏,
97,小阿枫 - 我要找到你,
100,崔文美秀 _ 陈卓璇 _ 胡玛尔 _ 王曦瑶 _ 胡嘉欣 _ 史芮伊 _ 朱主爱 - 除了春天、爱情和樱花 (纯享版),
119,很美味 - 东西 (片段),
125,新乐尘符 - 123我爱你~1,
132,李俊佑、小潘潘（潘柚彤） - 宠坏,
141,李昕融 _ 樊桐舟 _ 李凯稠 - 你笑起来真好看,
156,杨胖雨 - 这就是爱吗,
160,林君怡 _ 姜贞羽 _ 敖心仪 _ 苏芮琪 _ 曾雪瑶 _ 舒一灵 _ 希林娜依·高 - 潇洒小姐 (纯享版),
171,沈虫虫、丫蛋蛋(马启涵) - 2018小恋曲,
175,浙音4811(一个大金意) - 拜拜,
176,海伦 - 桥边姑娘,
178,潘玮柏 _ 张韶涵 - 快乐崇拜(1),
181,爱吃巧乐兹 - 圈住你,
187,王心凌 - 睫毛弯弯(1),
189,王恰恰 - 晚风,
197,程jiajia - 我爱你 (Live片段),
198,程jiajia - 我爱你,
200,群星 - 让我为你唱一首歌,
205,至上励合 - 棉花糖,
213,菜刀、KT - 我每首情歌都唱给你听,
216,萧亚轩 - 爱的主打歌~1,
229,要不要买菜 - 下山,
231,要不要买菜 - 火红的萨日朗,
233,许嵩 - 有何不可~1,
245,锦零 - The Star,
249,阿悠悠 - 你若三冬,
255,陈雪凝 - 淋雨一直走+说爱你+可不可以给我你的微信 (片段),
257,陶喆 - 就是爱你~1,
258,音阙诗听 _ 赵方婧 - 芒种,
259,顽主 - 老男孩 (女声版),
260,颜人中 - 胆小鬼,
286,Byrer Xinged杏子 - YELLOW,
287,Candee! - Ein Kleines Lied (Around the World),
292,Cobra Starship - Snakes On A Plane (Bring It),
308,Elvis Presley - Only You,
315,French Kiss - Jealousy (Dance Radio),
323,Helloween - Forever And One (Neverland),
336,Kesha - Crazy Kids (Explicit),
337,Kesha - Die Young,
340,L-Train - Undyne  Spear of Justice,
348,LINKIN PARK - Numb (原版伴奏),
356,Maksim Mrvica - Croatian Rhapsody,
358,Marilyn Manson - I Don't Like The Drugs (But the Drugs Like Me),
365,Mr. Polska - Move Up(Lost Gravity),
380,Pitbull _ Jennifer Lopez _ Claudia Leitte - We Are One (Ole Ola),
387,Rammstein - Eifersucht,
388,Rammstein - Sehnsucht,
399,Skid Row - 18 & Life,
403,talking heads - Take Me to the River,
417,U.D.O. - The Wrong Side of Midnight,
432,万能青年旅店 - 那个北京人,
433,今歌奏井 - 苦巧克力装饰,
435,信乐团 - Rock and Roll Is Dead,
437,倉木麻衣 - 渡月橋 〜君 想ふ〜,
445,周冬雨、王俊凯、易烊千玺、刘昊然、陈飞宇、许魏洲、宋祖儿、陈学冬、董子健、谷嘉诚、尚语贤、曾舜晞、张雪迎、张哲瀚、陈都灵、蓝盈莹、李鸿其、王森、张慧雯、金晨、王嘉、李蔓瑄、周也、王紫璇、易恒、匡牧野、朱颜曼滋、孙嘉灵、王锵、张海宇、王西、张婧仪 - 星辰大海,
447,奶小贱 _ 奶小深 _ 孽小瑞 - 口哨慢嗨,
448,小林信一 - ゲームより愛を込めて,
450,崔健 - 像一把刀子,
456,王利夫 - Anthem Of The Rebellion 叛军,
457,王利夫 - 联合舰队,
458,王源 - 友谊地久天长,
459,王玥兮、陈希郡 - 我要戴朵花 (TV Version),
461,窒息乐队 - 巨鲸落,
464,聖飢魔II - 嵐の予感 (暴风雨的预感),
467,超载乐队 - 破碎,
474,雪落caramel - ぱられループ (平行的轮回),
476,饭团团さん - 内臓ありますか请问有内脏吗,
479,A.F.D - Music Box Medley,
481,Björk - Frosti,
485,Detektivbyrån - Om du moter varg,
488,Henry刘宪华 - 우주를 줄게 (给你宇宙),
490,IU - blueming (DJ覆盖色的美版),
491,joysaaaa - 小一,
497,Orgel Sound J-Pop - GOLDEN GIRL  Originally Performed By いきものがかり （オルゴール）,
498,Orgel Sound J-Pop - Helpless Rain  Originally Performed By 中島美嘉 （オルゴール）,
499,Orgel Sound J-Pop - 愛してる Originally Performed By 中島美嘉 （オルゴール）,
500,Orgel Sound J-Pop - 蓮の花 Originally Performed By サカナクション （オルゴール）,
501,Orgel Sound J-Pop - 足音 ～Be Strong  Originally Performed By Mr.Children （オルゴール）,
508,solfa (ソルファ) - I will (music box ver.),
509,Superluckyqi - 直觉 (完整版),
510,TVサントラ - flower (music box ver.),
511,TVサントラ - 約束 music box I,
513,Yusee - 选择失忆 (片段),
516,Ólafur Arnalds _ Nils Frahm - 01_41,
519,α波オルゴール (Relaxing Orgel) - もののけ姫 (幽灵公主),
526,α波オルゴール (Relaxing Orgel) - 世界の約束 (哈尔的移动城堡主题曲 世界的约定),
530,あな兄 - Fantastic story,
531,あな兄 - Liberal Life,
533,あな兄 - おかえりなさいのうた,
539,一芥殊笙 - 心跳的证明,
540,不够 - 可能,
542,不称职歌手 - 关键词 (片段),
552,任然 - 关键词,
559,八三夭 - 想见你想见你想见你,
560,北宸 - 无你,
563,南辞 - 那一刻我就对你一见倾心 (片段),
564,叫宝宝 - 愿,
566,向银莹 - 左肩,
573,小咪 - 我走后,
581,心理FM - 你梦中看到的就是你的人生 (节目),
588,日本群星 (オムニバス) - secret base ~君がくれたもの~ (八音盒版),
590,日本群星 (オムニバス) - となりのトトロ (邻家的龙猫),
591,日本群星 (オムニバス) - テルーの唄 (瑟鲁之歌),
598,日本群星 (オムニバス) - 愛は花、君はその種子 (爱是花，你是那种子)(1),
599,日本群星 (オムニバス) - 愛は花、君はその種子 (爱是花，你是那种子),
602,日本群星 (オムニバス) - 海の見える街 (临海小镇),
605,杜宣达达达、王尔康 - 遥远的你 (治愈完整版),
606,杨胖雨 - 这就是爱吗,
611,父后七日 - MUSIC BOX MAGIC (插曲),
613,王梓钰、陈文辉 - 如果的事,
614,王泽科 - 不顾,
615,王茗 - 大眠 (男声版),
616,田中理恵 (たなか りえ) - 鈴代黎音キャラクターBGM,
618,皮卡丘多多 - 你是对的人,
623,程jiajia - 我爱你,
626,等什么君 - 慕夏,
627,纯音乐 - カノン (八音盒版),
631,脸红的思春期(BOL4) - You(=I),
637,蒋雪儿 - 莫问归期,
639,蓝心羽 - 别处的夕阳,
641,蓝心羽 - 成全,
643,蓝心羽 - 贩卖日落,
644,蓝心羽、黄诗扶 - 听起来很浪漫的事,
648,郭子果 - 倾殇,
649,郭曦文 - Galway Girl (片段),
650,锦零 - 小桥夜雨,
656,鬼琴天地响 - eternity,
669,Baron - Comethru (Baron remix),
672,BIGBANG (빅뱅) - Make Love,
679,Boyce Avenue _ Bea Miller - We Can't Stop,
685,DAOKO (ダヲコ) _ 米津玄師 (よねづ けんし) - 打上花火,
688,DJ OKAWARI - Luv Letter,
694,en - 嚣张,
695,en - 嚣张~1,
703,HYE SUNG _ Lauv - Paris In The Rain (HYE SUNG Remix),
708,Kaash Paige - LOVE SONGS,
714,LINKIN PARK - In The End (Remix)(DJ暖豪版),
719,MappleZS - May I see U again+I love you 3000 times,
722,Matte _ Ember Island - Umbrella (Matte Remix),
723,MayPiano - Illusionary Daytime (钢琴版),
728,NINEONE # - i don't wanna see u anymore 2019,
732,Pape-r - 你走以后1.0,
740,Russ - Psycho (Pt. 2) (Explicit),
742,Selena Gomez _ Marshmello - Wolves,
743,SeVen.13 - Limitless（无限）,
744,SILENT SIREN (サイレント・サイレン) - secret base ~君がくれたもの~ (secret base ~你给我的所有~),
751,Trevor Daniel _ Summer Walker - Falling (Summer Walker Remix),
756,Twinbed - Trouble I'm In~1,
759,Various Artists - How You Make Me Feel,
765,XXXTentacion - the remedy for a broken heart (why am I so in love) (Explicit),
768,东子陌 - 爱不得忘不舍 (DJ版),
769,东子陌 - 送给未来的你,
775,井胧 - 把孤独当做晚餐,
777,冰幽 _ 解忧草 - 辞·九门回忆,
779,刘大壮 - 给我一首歌的时间 (片段),
780,刘大壮 - 那些你很冒险的梦 (片段),
783,华语群星 - 意外 (Live片段),
793,周杰伦 - 夜曲 (1),
800,夏婉安 - 渡我不渡她,
803,妖姬、肖Music - EA7全凭感觉 (DJ版),
804,姜烨玲 - 虹之间,
808,安筱冷 - 能轻易取代始终不重要,
812,宣美 (선미) - 사이렌(Siren),
813,小咪 - 我走后,
816,庞宁 - 笨拙的想把所有温柔都给你,
826,明歆悦 - 离歌 (女声版片段),
827,明洋 - 五月雨变奏电音 (Remix),
829,春磊 - 雨纷纷 旧故里草木深 (live片段),
830,是耀温顺 - 2020硬曲,
831,是耀温顺 - Okok (DJ版片段),
832,是耀温顺 - 淡若清风,
846,枯木逢春 - 这一生关于你的风景,
850,欧邦聪、画风风、小可 - you (bootleg混音版),
854,泽亦龙 - 孤幻 (Perfect Mix),
865,白浩 - 迷人的危险 (DJ版),
866,百变小彤 - 戒烟 (片段),
873,精彩最初 - 我不配拥有爱,
874,纯音乐 - You (钢琴版),
875,网络歌手 - 意外 (豪大大),
878,耀仔 - Take Me Hand (新版),
879,耀仔 - 嗨 baby,
880,耀仔 - 我知道你 (拍手版),
881,耀仔 - 春娇与志明,
884,胡小斐 _ 董嘉鸿 - 一不小心爱上你,
892,葛东琪 - 悬溺,
901,藤竹京 - 此生不换 (片段),
910,达多 (달다) - 금요병 (周五病),
914,郭顶 - 水星记~1,
916,阿悠悠 - 念旧,
918,阿翔班长 - 烟火里的尘埃 (片段),
923,陈雪凝 - 你的酒馆对我打了烊,
932,魏新雨 - 余情未了,
934,黄诗扶 - 九万字 (念白版),
936,헤이즈 - We don't talk together (Feat. 기리보이) (Prod. SUGA),
